Source,Target,Type,Weight,r-vlue,sign
Akkermansia_muciniphila,Akkermansia_muciniphila_CAG154,Undirected,0.963040695,0.963040695,pos
Akkermansia_muciniphila,Akkermansia_sp._CAG344,Undirected,0.855906519,0.855906519,pos
Akkermansia_muciniphila_CAG154,Akkermansia_muciniphila,Undirected,0.963040695,0.963040695,pos
Akkermansia_muciniphila_CAG154,Akkermansia_sp._CAG344,Undirected,0.845701667,0.845701667,pos
Akkermansia_sp._CAG344,Akkermansia_muciniphila,Undirected,0.855906519,0.855906519,pos
Akkermansia_sp._CAG344,Akkermansia_muciniphila_CAG154,Undirected,0.845701667,0.845701667,pos
Alistipes_finegoldii,Alistipes_onderdonkii,Undirected,0.960278017,0.960278017,pos
Alistipes_finegoldii,Alistipes_shahii,Undirected,0.646074115,0.646074115,pos
Alistipes_finegoldii,Alistipes_sp._AL.1,Undirected,0.956887594,0.956887594,pos
Alistipes_finegoldii,Alistipes_sp._CAG29,Undirected,0.940158584,0.940158584,pos
Alistipes_finegoldii,unclassified_g__Alistipes,Undirected,0.951560502,0.951560502,pos
Alistipes_inops,Alistipes_putredinis,Undirected,0.735700419,0.735700419,pos
Alistipes_inops,Alistipes_putredinis_CAG67,Undirected,0.703352348,0.703352348,pos
Alistipes_obesi,Alistipes_shahii,Undirected,0.68630146,0.68630146,pos
Alistipes_obesi,Alistipes_sp._CAG53,Undirected,0.671709217,0.671709217,pos
Alistipes_obesi,Candidatus_Alistipes_marseilloanorexicus,Undirected,0.667606945,0.667606945,pos
Alistipes_onderdonkii,Alistipes_finegoldii,Undirected,0.960278017,0.960278017,pos
Alistipes_onderdonkii,Alistipes_shahii,Undirected,0.629175655,0.629175655,pos
Alistipes_onderdonkii,Alistipes_sp._AL.1,Undirected,0.956540105,0.956540105,pos
Alistipes_onderdonkii,Alistipes_sp._CAG29,Undirected,0.92581394,0.92581394,pos
Alistipes_onderdonkii,unclassified_g__Alistipes,Undirected,0.910563779,0.910563779,pos
Alistipes_putredinis,Alistipes_inops,Undirected,0.735700419,0.735700419,pos
Alistipes_putredinis,Alistipes_putredinis_CAG67,Undirected,0.948240833,0.948240833,pos
Alistipes_putredinis_CAG67,Alistipes_inops,Undirected,0.703352348,0.703352348,pos
Alistipes_putredinis_CAG67,Alistipes_putredinis,Undirected,0.948240833,0.948240833,pos
Alistipes_shahii,Alistipes_finegoldii,Undirected,0.646074115,0.646074115,pos
