Id,Label,size
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,13440136.88
unclassified_g__Bacteroides,unclassified_g__Bacteroides,8576096.153
Escherichia_coli,Escherichia_coli,4417307.701
Bacteroides_vulgatus,Bacteroides_vulgatus,3428773.031
Bacteroides_fragilis,Bacteroides_fragilis,2972806.51
Bacteroides_uniformis,Bacteroides_uniformis,2707892.522
unclassified_o__Bacteroidales,unclassified_o__Bacteroidales,2418306.715
Prevotella_copri,Prevotella_copri,2123404.661
Bacteroides_ovatus,Bacteroides_ovatus,1959428.684
Bifidobacterium_longum,Bifidobacterium_longum,1871690.774
Bacteroides_plebeius,Bacteroides_plebeius,1658239.228
Bacteroides_stercoris,Bacteroides_stercoris,1605592.565
Alistipes_putredinis,Alistipes_putredinis,1545329.91
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,1468658.567
unclassified_f__Enterobacteriaceae,unclassified_f__Enterobacteriaceae,1407019.293
Eubacterium_rectale,Eubacterium_rectale,1373179.63
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,1318766.005
Parabacteroides_merdae,Parabacteroides_merdae,1311873.345
Alistipes_finegoldii,Alistipes_finegoldii,1302256.109
Prevotella_copri_CAG164,Prevotella_copri_CAG164,1271500.602
Collinsella_aerofaciens,Collinsella_aerofaciens,1159358.074
unclassified_o__Clostridiales,unclassified_o__Clostridiales,1076907.706
Ruminococcus_torques,Ruminococcus_torques,1051498.9
Bacteroides_coprocola,Bacteroides_coprocola,921135.3604
Bacteroides_caccae,Bacteroides_caccae,878891.2202
Bacteroides_plebeius_CAG211,Bacteroides_plebeius_CAG211,875385.0513
Ruminococcus_gnavus,Ruminococcus_gnavus,875246.6941
Roseburia_faecis,Roseburia_faecis,805383.4152
Oscillibacter_sp._ER4,Oscillibacter_sp._ER4,801378.5543
Hungatella_hathewayi,Hungatella_hathewayi,778991.8913
Bacteroides_dorei,Bacteroides_dorei,761274.1837
Parabacteroides_distasonis,Parabacteroides_distasonis,746257.4138
Roseburia_inulinivorans,Roseburia_inulinivorans,740746.889
Blautia_wexlerae,Blautia_wexlerae,731868.3945
Bifidobacterium_breve,Bifidobacterium_breve,722745.6693
Alistipes_shahii,Alistipes_shahii,701483.1757
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,686589.9851
