Source,Target,Type,Weight,r-vlue,sign
Akkermansia_muciniphila,Akkermansia_muciniphila_CAG154,Undirected,0.966233067,0.966233067,pos
Akkermansia_muciniphila,Akkermansia_sp._CAG344,Undirected,0.833042029,0.833042029,pos
Akkermansia_muciniphila_CAG154,Akkermansia_muciniphila,Undirected,0.966233067,0.966233067,pos
Akkermansia_muciniphila_CAG154,Akkermansia_sp._CAG344,Undirected,0.811294509,0.811294509,pos
Akkermansia_sp._CAG344,Akkermansia_muciniphila,Undirected,0.833042029,0.833042029,pos
Akkermansia_sp._CAG344,Akkermansia_muciniphila_CAG154,Undirected,0.811294509,0.811294509,pos
Alistipes_finegoldii,Alistipes_obesi,Undirected,0.603219163,0.603219163,pos
Alistipes_finegoldii,Alistipes_onderdonkii,Undirected,0.970158668,0.970158668,pos
Alistipes_finegoldii,Alistipes_sp._AL.1,Undirected,0.953962272,0.953962272,pos
Alistipes_finegoldii,Alistipes_sp._CAG29,Undirected,0.936698105,0.936698105,pos
Alistipes_finegoldii,unclassified_g__Alistipes,Undirected,0.9530832,0.9530832,pos
Alistipes_inops,Alistipes_putredinis,Undirected,0.822466846,0.822466846,pos
Alistipes_inops,Alistipes_putredinis_CAG67,Undirected,0.801826587,0.801826587,pos
Alistipes_obesi,Alistipes_finegoldii,Undirected,0.603219163,0.603219163,pos
Alistipes_obesi,Alistipes_shahii,Undirected,0.645437333,0.645437333,pos
Alistipes_obesi,Alistipes_sp._CAG53,Undirected,0.616427691,0.616427691,pos
Alistipes_obesi,Candidatus_Alistipes_marseilloanorexicus,Undirected,0.618953707,0.618953707,pos
Alistipes_obesi,unclassified_g__Alistipes,Undirected,0.600424647,0.600424647,pos
Alistipes_onderdonkii,Alistipes_finegoldii,Undirected,0.970158668,0.970158668,pos
Alistipes_onderdonkii,Alistipes_sp._AL.1,Undirected,0.954984409,0.954984409,pos
Alistipes_onderdonkii,Alistipes_sp._CAG29,Undirected,0.932958184,0.932958184,pos
Alistipes_onderdonkii,unclassified_g__Alistipes,Undirected,0.903160454,0.903160454,pos
Alistipes_putredinis,Alistipes_inops,Undirected,0.822466846,0.822466846,pos
Alistipes_putredinis,Alistipes_putredinis_CAG67,Undirected,0.952811336,0.952811336,pos
Alistipes_putredinis_CAG67,Alistipes_inops,Undirected,0.801826587,0.801826587,pos
Alistipes_putredinis_CAG67,Alistipes_putredinis,Undirected,0.952811336,0.952811336,pos
Alistipes_shahii,Alistipes_obesi,Undirected,0.645437333,0.645437333,pos
Alistipes_shahii,Alistipes_sp._CAG53,Undirected,0.967783139,0.967783139,pos
Alistipes_shahii,unclassified_g__Alistipes,Undirected,0.606080923,0.606080923,pos
Alistipes_sp._AL.1,Alistipes_finegoldii,Undirected,0.953962272,0.953962272,pos
Alistipes_sp._AL.1,Alistipes_onderdonkii,Undirected,0.954984409,0.954984409,pos
Alistipes_sp._AL.1,Alistipes_sp._CAG29,Undirected,0.974231083,0.974231083,pos
Alistipes_sp._AL.1,unclassified_g__Alistipes,Undirected,0.879344548,0.879344548,pos
Alistipes_sp._CAG29,Alistipes_finegoldii,Undirected,0.936698105,0.936698105,pos
Alistipes_sp._CAG29,Alistipes_onderdonkii,Undirected,0.932958184,0.932958184,pos
Alistipes_sp._CAG29,Alistipes_sp._AL.1,Undirected,0.974231083,0.974231083,pos
Alistipes_sp._CAG29,unclassified_g__Alistipes,Undirected,0.842346614,0.842346614,pos
Alistipes_sp._CAG53,Alistipes_obesi,Undirected,0.616427691,0.616427691,pos
Alistipes_sp._CAG53,Alistipes_shahii,Undirected,0.967783139,0.967783139,pos
Anaerostipes_caccae,Blautia_sp._CAG257,Undirected,0.615385918,0.615385918,pos
Anaerostipes_caccae,Clostridium_bolteae,Undirected,0.72654317,0.72654317,pos
Anaerostipes_caccae,Clostridium_clostridioforme,Undirected,0.780479965,0.780479965,pos
Anaerostipes_caccae,Clostridium_innocuum,Undirected,0.739002766,0.739002766,pos
Anaerostipes_caccae,Clostridium_symbiosum,Undirected,0.635950826,0.635950826,pos
Anaerostipes_caccae,Eggerthella_lenta,Undirected,0.664808551,0.664808551,pos
Anaerostipes_caccae,Hungatella_hathewayi,Undirected,0.678818329,0.678818329,pos
Anaerostipes_caccae,Peptoclostridium_difficile,Undirected,0.73901967,0.73901967,pos
Anaerostipes_caccae,Ruminococcus_gnavus,Undirected,0.714672151,0.714672151,pos
Anaerostipes_caccae,Ruminococcus_gnavus_CAG126,Undirected,0.664734805,0.664734805,pos
Anaerostipes_caccae,Tyzzerella_nexilis,Undirected,0.745238235,0.745238235,pos
Anaerostipes_caccae,unclassified_g__Eggerthella,Undirected,0.677403167,0.677403167,pos
Anaerostipes_caccae,unclassified_o__Clostridiales,Undirected,0.751243455,0.751243455,pos
Anaerostipes_hadrus,Blautia_obeum,Undirected,0.645997617,0.645997617,pos
Anaerostipes_hadrus,Blautia_sp._Marseille.P2398,Undirected,0.685565004,0.685565004,pos
Anaerostipes_hadrus,Blautia_wexlerae,Undirected,0.653373845,0.653373845,pos
Anaerostipes_hadrus,Dorea_formicigenerans,Undirected,0.739652957,0.739652957,pos
Anaerostipes_hadrus,Eubacterium_hallii,Undirected,0.661545475,0.661545475,pos
Anaerostipes_hadrus,Fusicatenibacter_saccharivorans,Undirected,0.633095002,0.633095002,pos
Anaerostipes_hadrus,Ruminococcus_sp._5_1_39BFAA,Undirected,0.663685319,0.663685319,pos
Anaerostipes_hadrus,Ruminococcus_torques,Undirected,0.627951969,0.627951969,pos
Anaerotruncus_colihominis,Clostridium_sp._GD3,Undirected,0.617883725,0.617883725,pos
Bacteroides_caccae,Bacteroides_caccae_CAG21,Undirected,0.907757755,0.907757755,pos
Bacteroides_caccae,Bacteroides_finegoldii,Undirected,0.620016271,0.620016271,pos
Bacteroides_caccae,Bacteroides_sp._D2,Undirected,0.608374618,0.608374618,pos
Bacteroides_caccae,Bacteroides_thetaiotaomicron,Undirected,0.630666931,0.630666931,pos
