Id,Label,size
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,8803065.757
unclassified_g__Bacteroides,unclassified_g__Bacteroides,4034085.165
Escherichia_coli,Escherichia_coli,1652664.187
Bacteroides_vulgatus,Bacteroides_vulgatus,1834093.874
Bacteroides_fragilis,Bacteroides_fragilis,1100371.009
Bacteroides_uniformis,Bacteroides_uniformis,1392648.728
unclassified_o__Bacteroidales,unclassified_o__Bacteroidales,1184405.441
Prevotella_copri,Prevotella_copri,1657655.946
Bacteroides_ovatus,Bacteroides_ovatus,923932.4409
Bifidobacterium_longum,Bifidobacterium_longum,907370.1902
Subdoligranulum_variabile,Subdoligranulum_variabile,1073722.133
Bacteroides_plebeius,Bacteroides_plebeius,942540.345
Bacteroides_stercoris,Bacteroides_stercoris,731195.9435
Alistipes_putredinis,Alistipes_putredinis,894006.5241
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,637277.7463
unclassified_f__Enterobacteriaceae,unclassified_f__Enterobacteriaceae,562123.3101
Eubacterium_rectale,Eubacterium_rectale,1199043.165
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,569761.2279
Parabacteroides_merdae,Parabacteroides_merdae,508889.4188
Alistipes_finegoldii,Alistipes_finegoldii,632469.8211
Prevotella_copri_CAG164,Prevotella_copri_CAG164,995767.8551
Collinsella_aerofaciens,Collinsella_aerofaciens,727080.7988
unclassified_o__Clostridiales,unclassified_o__Clostridiales,619379.0968
Ruminococcus_torques,Ruminococcus_torques,718863.5134
Bacteroides_coprocola,Bacteroides_coprocola,651723.4223
Bacteroides_caccae,Bacteroides_caccae,341387.0484
Bacteroides_plebeius_CAG211,Bacteroides_plebeius_CAG211,509068.8294
Ruminococcus_gnavus,Ruminococcus_gnavus,367909.1815
Roseburia_faecis,Roseburia_faecis,680167.2364
Oscillibacter_sp._ER4,Oscillibacter_sp._ER4,389324.4733
Hungatella_hathewayi,Hungatella_hathewayi,249406.3722
Bacteroides_dorei,Bacteroides_dorei,415583.3854
