Source,Target,Type,Weight,r-vlue,sign
Akkermansia_muciniphila,Akkermansia_muciniphila_CAG154,Undirected,0.96229992,0.96229992,pos
Akkermansia_muciniphila,Akkermansia_sp._CAG344,Undirected,0.883323509,0.883323509,pos
Akkermansia_muciniphila_CAG154,Akkermansia_muciniphila,Undirected,0.96229992,0.96229992,pos
Akkermansia_muciniphila_CAG154,Akkermansia_sp._CAG344,Undirected,0.881542928,0.881542928,pos
Akkermansia_sp._CAG344,Akkermansia_muciniphila,Undirected,0.883323509,0.883323509,pos
Akkermansia_sp._CAG344,Akkermansia_muciniphila_CAG154,Undirected,0.881542928,0.881542928,pos
Alistipes_finegoldii,Alistipes_onderdonkii,Undirected,0.958358935,0.958358935,pos
Alistipes_finegoldii,Alistipes_shahii,Undirected,0.719628596,0.719628596,pos
Alistipes_finegoldii,Alistipes_sp._AL.1,Undirected,0.956533371,0.956533371,pos
Alistipes_finegoldii,Alistipes_sp._CAG29,Undirected,0.945492469,0.945492469,pos
Alistipes_finegoldii,Alistipes_sp._CAG53,Undirected,0.659894906,0.659894906,pos
Alistipes_finegoldii,unclassified_g__Alistipes,Undirected,0.951176078,0.951176078,pos
Alistipes_indistinctus,Candidatus_Alistipes_marseilloanorexicus,Undirected,0.625806251,0.625806251,pos
Alistipes_inops,Alistipes_putredinis,Undirected,0.646411094,0.646411094,pos
Alistipes_inops,Alistipes_putredinis_CAG67,Undirected,0.615875808,0.615875808,pos
Alistipes_obesi,Alistipes_putredinis_CAG67,Undirected,0.65243235,0.65243235,pos
Alistipes_obesi,Alistipes_shahii,Undirected,0.709857924,0.709857924,pos
Alistipes_obesi,Alistipes_sp._CAG53,Undirected,0.715809192,0.715809192,pos
Alistipes_obesi,Candidatus_Alistipes_marseilloanorexicus,Undirected,0.700861891,0.700861891,pos
Alistipes_obesi,Peptoclostridium_difficile,Undirected,0.604598156,-0.604598156,neg
Alistipes_onderdonkii,Alistipes_finegoldii,Undirected,0.958358935,0.958358935,pos
Alistipes_onderdonkii,Alistipes_shahii,Undirected,0.690045239,0.690045239,pos
Alistipes_onderdonkii,Alistipes_sp._AL.1,Undirected,0.95734335,0.95734335,pos
Alistipes_onderdonkii,Alistipes_sp._CAG29,Undirected,0.921786067,0.921786067,pos
Alistipes_onderdonkii,Alistipes_sp._CAG53,Undirected,0.658720424,0.658720424,pos
Alistipes_onderdonkii,unclassified_g__Alistipes,Undirected,0.917032922,0.917032922,pos
Alistipes_putredinis,Alistipes_inops,Undirected,0.646411094,0.646411094,pos
Alistipes_putredinis,Alistipes_putredinis_CAG67,Undirected,0.948774665,0.948774665,pos
Alistipes_putredinis,Bilophila_wadsworthia,Undirected,0.603755152,0.603755152,pos
Alistipes_putredinis,Candidatus_Alistipes_marseilloanorexicus,Undirected,0.671186154,0.671186154,pos
Alistipes_putredinis_CAG67,Alistipes_inops,Undirected,0.615875808,0.615875808,pos
Alistipes_putredinis_CAG67,Alistipes_obesi,Undirected,0.65243235,0.65243235,pos
Alistipes_putredinis_CAG67,Alistipes_putredinis,Undirected,0.948774665,0.948774665,pos
Alistipes_putredinis_CAG67,Candidatus_Alistipes_marseilloanorexicus,Undirected,0.691385995,0.691385995,pos
Alistipes_shahii,Alistipes_finegoldii,Undirected,0.719628596,0.719628596,pos
Alistipes_shahii,Alistipes_obesi,Undirected,0.709857924,0.709857924,pos
Alistipes_shahii,Alistipes_onderdonkii,Undirected,0.690045239,0.690045239,pos
Alistipes_shahii,Alistipes_sp._AL.1,Undirected,0.652344091,0.652344091,pos
Alistipes_shahii,Alistipes_sp._CAG53,Undirected,0.952376778,0.952376778,pos
