Id,Label,size
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,4637071.119
unclassified_g__Bacteroides,unclassified_g__Bacteroides,4542010.989
Escherichia_coli,Escherichia_coli,2764643.514
Bacteroides_vulgatus,Bacteroides_vulgatus,1594679.157
Bacteroides_fragilis,Bacteroides_fragilis,1872435.501
Bacteroides_uniformis,Bacteroides_uniformis,1315243.794
unclassified_o__Bacteroidales,unclassified_o__Bacteroidales,1233901.275
Prevotella_copri,Prevotella_copri,465748.7151
Bacteroides_ovatus,Bacteroides_ovatus,1035496.243
Bifidobacterium_longum,Bifidobacterium_longum,964320.5835
Bacteroides_plebeius,Bacteroides_plebeius,715698.8828
Bacteroides_stercoris,Bacteroides_stercoris,874396.6214
Alistipes_putredinis,Alistipes_putredinis,651323.3855
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,831380.8206
unclassified_f__Enterobacteriaceae,unclassified_f__Enterobacteriaceae,844895.983
Eubacterium_rectale,Eubacterium_rectale,174136.4652
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,749004.777
Parabacteroides_merdae,Parabacteroides_merdae,802983.9259
Alistipes_finegoldii,Alistipes_finegoldii,669786.2875
Prevotella_copri_CAG164,Prevotella_copri_CAG164,275732.7469
Collinsella_aerofaciens,Collinsella_aerofaciens,432277.2753
unclassified_o__Clostridiales,unclassified_o__Clostridiales,457528.6087
Bacteroides_coprocola,Bacteroides_coprocola,269411.9381
Bacteroides_caccae,Bacteroides_caccae,537504.1718
Bacteroides_plebeius_CAG211,Bacteroides_plebeius_CAG211,366316.2219
Ruminococcus_gnavus,Ruminococcus_gnavus,507337.5126
Roseburia_faecis,Roseburia_faecis,125216.1788
Oscillibacter_sp._ER4,Oscillibacter_sp._ER4,412054.081
Hungatella_hathewayi,Hungatella_hathewayi,529585.5191
Bacteroides_dorei,Bacteroides_dorei,345690.7983
Parabacteroides_distasonis,Parabacteroides_distasonis,387899.3122
Blautia_wexlerae,Blautia_wexlerae,210415.1562
Bifidobacterium_breve,Bifidobacterium_breve,371221.2681
Alistipes_shahii,Alistipes_shahii,368320.4549
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,217908.9231
Blautia_obeum,Blautia_obeum,180272.8144
Flavonifractor_plautii,Flavonifractor_plautii,356665.5181
Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,311294.4115
Faecalibacterium_sp._CAG82,Faecalibacterium_sp._CAG82,196878.073
Fusicatenibacter_saccharivorans,Fusicatenibacter_saccharivorans,201587.2622
Akkermansia_muciniphila,Akkermansia_muciniphila,269605.0552
unclassified_g__Parabacteroides,unclassified_g__Parabacteroides,329853.3577
Klebsiella_pneumoniae,Klebsiella_pneumoniae,286460.529
unclassified_g__Bifidobacterium,unclassified_g__Bifidobacterium,264334.147
Ruminococcus_bromii,Ruminococcus_bromii,127658.6154
Bacteroides_massiliensis,Bacteroides_massiliensis,236124.0393
Firmicutes_bacterium_CAG103,Firmicutes_bacterium_CAG103,197923.1015
Alistipes_sp._CAG29,Alistipes_sp._CAG29,226939.132
Dorea_longicatena,Dorea_longicatena,131186.058
Akkermansia_sp._CAG344,Akkermansia_sp._CAG344,212681.8784
unclassified_p__Proteobacteria,unclassified_p__Proteobacteria,261407.8689
Ruminococcus_sp._CAG108,Ruminococcus_sp._CAG108,100882.1326
Subdoligranulum_sp._4_3_54A2FAA,Subdoligranulum_sp._4_3_54A2FAA,270262.6471
Dialister_invisus,Dialister_invisus,187500.3078
Alistipes_putredinis_CAG67,Alistipes_putredinis_CAG67,160737.9872
uncultured_bacterium,uncultured_bacterium,158486.9821
Tyzzerella_nexilis,Tyzzerella_nexilis,179188.6883
Bacteroides_intestinalis,Bacteroides_intestinalis,180583.1435
Akkermansia_muciniphila_CAG154,Akkermansia_muciniphila_CAG154,179579.2126
Roseburia_intestinalis,Roseburia_intestinalis,96093.3032
Megamonas_funiformis,Megamonas_funiformis,207312.1926
Bacteroides_finegoldii,Bacteroides_finegoldii,195101.3866
Bacteroides_cellulosilyticus,Bacteroides_cellulosilyticus,189962.0031
Clostridium_sp._CAG217,Clostridium_sp._CAG217,176471.7949
Ruminococcus_bicirculans,Ruminococcus_bicirculans,150663.3721
Coprococcus_comes,Coprococcus_comes,91701.23032
Clostridium_sp._ATCC_BAA.442,Clostridium_sp._ATCC_BAA.442,189990.0617
unclassified_g__Alistipes,unclassified_g__Alistipes,166894.4739
Firmicutes_bacterium_CAG124,Firmicutes_bacterium_CAG124,194594.8867
Clostridium_clostridioforme,Clostridium_clostridioforme,169981.6159
Bifidobacterium_bifidum,Bifidobacterium_bifidum,88012.60255
Anaerostipes_hadrus,Anaerostipes_hadrus,80196.42499
Clostridium_bolteae,Clostridium_bolteae,183223.7764
Bacteroides_eggerthii,Bacteroides_eggerthii,144063.1432
Firmicutes_bacterium_CAG83,Firmicutes_bacterium_CAG83,161587.577
unclassified_g__Oscillibacter,unclassified_g__Oscillibacter,163540.2219
Bacteroides_coprocola_CAG162,Bacteroides_coprocola_CAG162,72273.66805
Bilophila_wadsworthia,Bilophila_wadsworthia,122467.6529
Alistipes_sp._CAG53,Alistipes_sp._CAG53,154183.7193
Peptoclostridium_difficile,Peptoclostridium_difficile,129376.3463
Bacteroides_sp._3_1_13,Bacteroides_sp._3_1_13,131320.9897
Bacteroides_stercoris_CAG120,Bacteroides_stercoris_CAG120,140214.852
Bacteroides_coprophilus,Bacteroides_coprophilus,80333.91123
Firmicutes_bacterium_CAG65,Firmicutes_bacterium_CAG65,112195.4567
Alistipes_onderdonkii,Alistipes_onderdonkii,121916.6659
Firmicutes_bacterium_CAG176,Firmicutes_bacterium_CAG176,158335.2141
Firmicutes_bacterium_CAG41,Firmicutes_bacterium_CAG41,56431.19596
Shigella_sonnei,Shigella_sonnei,147785.4939
Ruminococcus_sp._CAG177,Ruminococcus_sp._CAG177,134012.8829
Odoribacter_splanchnicus,Odoribacter_splanchnicus,92404.06954
Collinsella_sp._4_8_47FAA,Collinsella_sp._4_8_47FAA,79584.94138
Dialister_invisus_CAG218,Dialister_invisus_CAG218,104873.3882
Eubacterium_hallii,Eubacterium_hallii,56286.08292
Anaerotruncus_colihominis,Anaerotruncus_colihominis,108175.555
Alistipes_sp._AL.1,Alistipes_sp._AL.1,101329.932
Oscillibacter_sp._CAG241,Oscillibacter_sp._CAG241,118986.5614
Roseburia_sp._CAG18,Roseburia_sp._CAG18,27666.6143
Blautia_sp._CAG37,Blautia_sp._CAG37,67287.39317
Parasutterella_excrementihominis,Parasutterella_excrementihominis,74361.17143
Eubacterium_desmolans,Eubacterium_desmolans,73071.59492
Ruminococcaceae_bacterium_AM2,Ruminococcaceae_bacterium_AM2,110727.6901
Ruminococcaceae_bacterium_cv2,Ruminococcaceae_bacterium_cv2,111930.2436
Ruminococcaceae_bacterium_585.1,Ruminococcaceae_bacterium_585.1,104873.1591
Clostridium_sp._CAG91,Clostridium_sp._CAG91,109870.1578
Bacteroides_faecis,Bacteroides_faecis,132723.0645
Parabacteroides_goldsteinii,Parabacteroides_goldsteinii,137730.6786
Intestinimonas_butyriciproducens,Intestinimonas_butyriciproducens,105275.1126
Alistipes_obesi,Alistipes_obesi,103185.7619
Ruminococcaceae_bacterium_D16,Ruminococcaceae_bacterium_D16,70261.85727
butyrate.producing_bacterium_SS3.4,butyrate.producing_bacterium_SS3.4,66571.35285
Proteobacteria_bacterium_CAG139,Proteobacteria_bacterium_CAG139,80570.98862
Clostridia_bacterium_UC5.1.1D1,Clostridia_bacterium_UC5.1.1D1,73177.68715
Ruminococcus_callidus,Ruminococcus_callidus,63901.32739
unclassified_g__Escherichia,unclassified_g__Escherichia,108204.712
Prevotella_sp._109,Prevotella_sp._109,25026.27569
Bacteroides_sp._D2,Bacteroides_sp._D2,78562.57726
Eubacterium_eligens,Eubacterium_eligens,60509.34933
Prevotella_sp._CAG386,Prevotella_sp._CAG386,33570.03016
Parabacteroides_johnsonii,Parabacteroides_johnsonii,88469.32336
Clostridium_sp._GD3,Clostridium_sp._GD3,93111.92655
Blautia_sp._GD8,Blautia_sp._GD8,49089.77715
Escherichia_albertii,Escherichia_albertii,95921.70953
Prevotella_sp._CAG604,Prevotella_sp._CAG604,48997.60998
Dorea_formicigenerans,Dorea_formicigenerans,40050.93526
Firmicutes_bacterium_CAG170,Firmicutes_bacterium_CAG170,89420.63802
Prevotella_stercorea,Prevotella_stercorea,43610.55447
Parabacteroides_sp._D26,Parabacteroides_sp._D26,76772.12498
Bifidobacterium_pseudocatenulatum_CAG263,Bifidobacterium_pseudocatenulatum_CAG263,79926.20834
Oscillospiraceae_bacterium_VE202.24,Oscillospiraceae_bacterium_VE202.24,71530.54076
Streptococcus_salivarius,Streptococcus_salivarius,58833.62324
Enterobacter_cloacae,Enterobacter_cloacae,76209.38637
unclassified_g__Eggerthella,unclassified_g__Eggerthella,61087.58241
Firmicutes_bacterium_CAG129,Firmicutes_bacterium_CAG129,85694.9811
Ruminococcus_sp._CAG57,Ruminococcus_sp._CAG57,59641.15094
Collinsella_sp._CAG166,Collinsella_sp._CAG166,49551.11344
Eubacterium_sp._CAG146,Eubacterium_sp._CAG146,54593.38122
Parabacteroides_gordonii,Parabacteroides_gordonii,92394.43977
Clostridium_symbiosum,Clostridium_symbiosum,62370.88838
Barnesiella_intestinihominis,Barnesiella_intestinihominis,76326.8526
Megamonas_rupellensis,Megamonas_rupellensis,75252.10594
Blautia_sp._CAG237,Blautia_sp._CAG237,55775.64049
Streptococcus_parasanguinis,Streptococcus_parasanguinis,65291.61811
unclassified_g__Blautia,unclassified_g__Blautia,38092.85027
Bacteroides_clarus,Bacteroides_clarus,76405.59372
Shigella_dysenteriae,Shigella_dysenteriae,79473.45137
Veillonella_parvula,Veillonella_parvula,80554.10674
Ruminococcaceae_bacterium_668,Ruminococcaceae_bacterium_668,74011.25431
Candidatus_Alistipes_marseilloanorexicus,Candidatus_Alistipes_marseilloanorexicus,68456.85303
Clostridium_sp._CAG138,Clostridium_sp._CAG138,99086.21383
Bifidobacterium_kashiwanohense,Bifidobacterium_kashiwanohense,69614.3462
unclassified_g__Fusicatenibacter,unclassified_g__Fusicatenibacter,81799.4067
Bacteroides_salyersiae,Bacteroides_salyersiae,54723.25967
Bacteroides_sp._3_1_19,Bacteroides_sp._3_1_19,67697.44369
unclassified_f__Ruminococcaceae,unclassified_f__Ruminococcaceae,76160.66348
Prevotella_sp._CAG732,Prevotella_sp._CAG732,44803.3346
Blautia_sp._Marseille.P2398,Blautia_sp._Marseille.P2398,30413.37758
unclassified_g__Megamonas,unclassified_g__Megamonas,63262.77593
Blautia_sp._KLE_1732,Blautia_sp._KLE_1732,34483.83413
Eggerthella_lenta,Eggerthella_lenta,46604.0568
Eubacterium_rectale_CAG36,Eubacterium_rectale_CAG36,10878.7245
Ruminococcus_faecis,Ruminococcus_faecis,17589.33145
